Column
User id
Day in study
Week day
Cycle number
Cycle day
First day of period
"Period (0-no, 1-yes)"
"Rectal stabbing (0-no pain, 10-worst pain)"
"Frequent need to urinate (0-no problem, 10-worst frequent)"
"Mouth ulcer (0-no pain, 10-worst pain)"
"Feeling of heaviness (0-no pain, 10-worst pain)"
"Thigh and pelvic pain (0-no pain, 10-worst pain)"
"Lack of desire to do anything (0-no mood, 10-worst mood)"
"Sciatic pain - right side (0-no pain, 10-worst pain)"
"Pain after intercourse / painful intercourse / pain after orgasm (0-no pain, 10-worst pain)"
"Fainting (0-no pain, 10-worst pain)"
"Cold flush (0-no cold flushes, 10-worst cold flushes)"
"Scapula pain (0-no pain, 10-worst pain)"
"Shoulder pain (0-no pain, 10-worst pain)"
"Pain in thigh (0-no pain, 10-worst pain)"
"Attention concentration difficulty (0-no difficulty, 10-most difficult)"
"Sensitivity to touch (0-no pain, 10-worst pain)"
"Stabbing pain in the chest (0-no pain, 10-worst pain)"
"Hormonal mood (0-no hormonal moods, 10-worst hormonal moods)"
"Stabbing pain in the sides of the abdomen (0-no pain, 10-worst pain)"
"Anxiety (0-no anxiety, 10-worst anxiety)"
"Leg pain (0-no pain, 10-worst pain)"
Abitren suppository (times)
"Chest pain (0-no pain, 4-worst pain)"
"Neck pain (0-no pain, 4-worst pain)"
"Shortness of breath (0-no problem, 4-worst pain)"
"Vagus nerve flare up (0-no pain, 4-worst pain)"
"Abdominal stabbing pain (0-no pain, 4-worst pain)"
"Loss of balance (0-no pain, 4-worst pain)"
"Chronic urticaria (0-no pain, 4-worst pain)"
"Vocal cords problems (0-no pain, 4-worst pain)"
"Numbness in the palms of the hands (0-no numbness, 4-worst numbness)"
"Stress (0-no stress, 10-worst stress)"
Optalgin (times)
"Stomach discomfort (0-no discomfort, 4-worst discomfort)"
"Muscle tightness (0-no tightness, 4-worst tightness)"
"Leg pain (0-no pain, 4-worst pain)"
"Sinusitis (0-no pain, 4-worst pain)"
"Eye infection (0-no infection, 4-worst infection)"
"Joint pain (0-no pain, 4-worst pain)"
"Smell sensitivity (0-no sensitivity, 4-worst sensitivity)"
"Pain in R knee (0-no pain, 4-worst pain)"
"Pain in L knee (0-no pain, 4-worst pain)"
"Hematoma (0-no pain, 4-worst pain)"
"Sound sensitivity increased (0-no sensitivity, 4-worst sensitivity)"
"Lower abdominal pain (0-no pain, 4-worst pain)"
"Desire to eat salty food (0-no appetite, 4-worst appetite)"
"Mouth ulcer (0-no pain, 4-worst pain)"
"Upper abdominal pain L (0-no pain, 10-worst pain)"
"Difficulty urinate / frequent need to urinate / incomplete urination (0-no pain, 4-worst pain)"
"Abdominal pain (0-no pain, 10-worst pain)"
"Gluten (0-no, 1-yes)"
"Feeling sad (0-no sadness, 4-worst sadness)"
"Cold flush (0-no cold flushes, 4-worst cold flushes)"
"Alcohol (0-no, 1-yes)"
"Blurred vision (0-no blurred vision, 10-worst blurred vision)"
"Stomach stiffness (0-no pain, 4-worst pain)"
"Thigh stabs (0-no pain, 4-worst pain)"
"Eye allergies (0-no allergies, 4-worst allergies)"
"Lower abdominal cramps (0-no pain, 4-worst pain)"
"Sound / smell / touch sensitivity (0-no sensitivity, 4-worst sensitivity)"
"Shoulder / neck / scapula pain (0-no pain, 4-worst pain)"
"Numbness in the feet / sore feet / feet weakness (0-no pain, 4-worst pain)"
"Attention concentration difficulty (0-no concentration, 10-most concentration)"
"Bleeding nose (0-no, 1-yes)"
"Gum infection (0-no pain, 4-worst pain)"
"Vaginal / anal itching (0-no itching, 4-worst itching)"
"Dizzy: sitting to standing (0-no dizzy, 4-worst dizzy)"
"Ovulation pain (0-no pain, 10-worst pain)"
"Sensitivity to touch (0-no pain, 4-worst pain)"
"High libido (0-no libido, 4-higest libido)"
"Numbness in the palms of the hands / feet (0-no numbness, 4-worst numbness)"
"Bleeding after intercourse (0-no bleeding, 4-worst bleeding)"
"Pain - right side (0-no pain, 4-worst pain)"
"Sore throat (0-no pain, 4-worst pain)"
"Pain - left side (0-no pain, 4-worst pain)"
"Energy / fatigue (0-most fatigued, 4-most energetic)"
"Small fiber neuropathy (0-no pain, 4-worst pain)"
Acamol focus (times)
"Runny nose (0-no runny nose, 4-worst runny nose)"
"I ate at night (0-no, 1-yes)"
"Pain after urination (0-no pain, 4-worst pain)"
"Pain before urination (0-no pain, 4-worst pain)"
"Pelvic pain / stomach flare / abdominal flare (0-no pain, 4-worst pain)"
"Buttock pain / pain radiating down the leg (0-no pain, 4-worst pain)"
"Burning sensation after intercourse (0-no pain, 4-worst pain)"
"Painful before intercourse (0-no pain, 4-worst pain)"
"Lower abdominal stabbing / persistent pain R (0-no pain, 4-worst pain)"
"Lower abdominal stabbing / persistent pain L (0-no pain, 4-worst pain)"
Sedural (times)
"Fainting (0-no, 2-yes)"
Abitren injection (times)
"Endo flare up R (0-no pain, 4-worst pain)"
"Endo flare up L (0-no pain, 4-worst pain)"
"Frequent need to urinate / incomplete urination / pain after urination (0-no pain, 4-worst pain)"
"Herpes simplex oral (0-no, 1-yes)"
"Shallow breathing (0-no shallow breathing, 4-worst shallow breathing)"
"Leg pain R (0-no pain, 4-worst pain)"
"Mouth ulcer (0-no, 1-yes)"
"Wrist pain (0-no pain, 4-worst pain)"
"Neck muscles cramps (0-no pain, 4-worst pain)"
"Stabbing pain in the sides of the abdomen (0-no pain, 4-worst pain)"
"Working from home (0-no, 1-yes)"
"Lower abdominal stabbing pain / ovaries pain (0-no pain, 4-worst pain)"
"Office work (0-full d, 4-full b)"
"I did too much (0-no, 1-yes)"
"Joint pain R (0-no pain, 4-worst pain)"
"Right pelvic / buttock / knee / feet pain (0-no pain, 4-worst pain)"
"Lower abdominal stabbing pain R (0-no pain, 4-worst pain)"
"Abdominal dull-aching pain / abdominal cramps (0-no pain, 4-worst pain)"
Adex (times)
Ibuprofen (times)
"I saw a physician (0-no, 1-yes)"
"Dissociation (0-no dissociation, 10-worst dissociation)"
"Genital herpes (0-no, 1-yes)"
"No appetite (0-no problem, 10-worst no appetite)"
"Cold sensitivity (0-no sensitivity, 10-worst sensitivity)"
"Leg pain R (0-no pain, 10-worst pain)"
"Leg pain L (0-no pain, 10-worst pain)"
"Sensitive face skin (0-no sensitivity, 10-worst sensitivity)"
"Groin burning sensation (0-no burning, 10-worst burning)"
"Muscle tightness (0-no tightness, 10-worst tightness)"
"Urgency urination (0-no urgency, 10-worst urgency)"
"Rib pain R (0-no pain, 10-worst pain)"
"Uterine cramps (0-no cramps, 10-worst cramps)"
"Pain radiating to the buttock (0-no pain, 10-worst pain)"
"Vaginal dryness / itching (0-no pain, 10-worst pain)"
"Stabbing pain in ovaries (0-no pain, 10-worst pain)"
"Neck muscles cramps L (0-no pain, 10-worst pain)"
"Burning / numbness / sore feet (0-no pain, 10-worst pain)"
